type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,40.577501302,-98.352992753,580.6,,0.000,,Motorsport Park Hastings,
T,40.577442405,-98.353043694,580.6,-0.0,0.008,7.83,,
T,40.577393294,-98.353068175,580.6,0.2,0.014,5.83,,
T,40.577341806,-98.353076562,580.7,0.3,0.019,5.76,,
T,40.577287805,-98.353068984,580.7,0.1,0.025,6.03,,
T,40.577213270,-98.353039826,580.7,-0.0,0.034,8.64,,
T,40.577110961,-98.353001096,580.7,-0.1,0.046,11.82,,
T,40.577006118,-98.352946852,580.7,0.3,0.058,12.52,,
T,40.576887819,-98.352903356,580.8,0.9,0.072,13.64,,
T,40.576787275,-98.352867214,580.9,0.8,0.084,11.58,,
T,40.576674480,-98.352819170,580.9,0.1,0.097,13.17,,
T,40.576245367,-98.352629651,581.0,0.2,0.147,50.28,,
T,40.576162990,-98.352592110,581.0,0.5,0.157,9.68,,
T,40.576111703,-98.352538789,581.1,0.5,0.164,7.27,,
T,40.576070545,-98.352475247,581.1,0.6,0.171,7.06,,
T,40.576039327,-98.352401506,581.2,0.7,0.178,7.14,,
T,40.576027125,-98.352325875,581.2,-0.1,0.185,6.55,,
T,40.576027448,-98.352227607,581.1,-1.2,0.193,8.32,,
T,40.576030847,-98.352123517,581.0,-1.2,0.202,8.82,,
T,40.576163701,-98.350658316,579.9,-0.9,0.327,124.94,,
T,40.576395257,-98.348010943,579.2,-0.3,0.553,225.63,,
T,40.576407741,-98.347871292,579.2,-0.1,0.564,11.91,,
T,40.576426606,-98.347689101,579.2,-0.2,0.580,15.57,,
T,40.576464579,-98.347510897,579.3,0.6,0.596,15.67,,
T,40.576537863,-98.347383508,579.5,1.2,0.609,13.51,,
T,40.576616631,-98.347247659,579.5,-0.1,0.624,14.45,,
T,40.576704660,-98.347146192,579.5,0.1,0.637,13.01,,
T,40.576823968,-98.347068019,579.5,-0.0,0.651,14.81,,
T,40.577737533,-98.346620672,579.5,-0.0,0.760,108.29,,
T,40.577853625,-98.346561426,579.5,0.2,0.774,13.83,,
T,40.577977188,-98.346530605,579.5,-0.1,0.788,13.97,,
T,40.578131748,-98.346498734,579.4,-0.4,0.805,17.37,,
T,40.578263525,-98.346493942,579.4,-0.1,0.820,14.64,,
T,40.580209741,-98.346499069,579.4,0.0,1.036,216.12,,
T,40.580309987,-98.346500847,579.5,0.3,1.047,11.13,,
T,40.580424092,-98.346517863,579.5,0.4,1.060,12.75,,
T,40.581208803,-98.346707777,580.1,0.7,1.148,88.61,,
T,40.581317002,-98.346747284,580.4,1.9,1.161,12.47,,
T,40.581407657,-98.346815428,580.7,2.9,1.172,11.60,,
T,40.581491514,-98.346916924,581.0,1.8,1.185,12.67,,
T,40.581542928,-98.347021784,580.9,-0.1,1.195,10.56,,
T,40.581590501,-98.347132349,581.0,0.6,1.206,10.75,,
T,40.581601389,-98.347245572,581.1,1.4,1.216,9.66,,
T,40.581611862,-98.347368282,581.3,1.5,1.226,10.45,,
T,40.581596248,-98.347478754,581.5,1.9,1.236,9.51,,
T,40.581565934,-98.347589591,581.6,1.8,1.246,9.97,,
T,40.581527963,-98.347700468,581.9,2.1,1.256,10.29,,
T,40.581468545,-98.347797838,582.0,1.3,1.267,10.56,,
T,40.581391615,-98.347872515,582.0,0.2,1.277,10.63,,
T,40.581304300,-98.347933515,581.9,-0.6,1.288,10.99,,
T,40.581218093,-98.347967153,581.9,-0.9,1.298,9.99,,
T,40.581129357,-98.348000501,581.8,-0.3,1.309,10.25,,
T,40.581031221,-98.348011722,581.8,-0.7,1.319,10.94,,
T,40.580550265,-98.348053280,581.2,-1.0,1.373,53.52,,
T,40.580448744,-98.348076842,581.1,-0.9,1.384,11.45,,
T,40.580380754,-98.348133217,581.0,-1.5,1.393,8.93,,
T,40.580313310,-98.348205976,580.9,-0.7,1.403,9.70,,
T,40.580259054,-98.348303216,580.9,0.1,1.413,10.20,,
T,40.580211479,-98.348408133,580.9,0.3,1.424,10.34,,
T,40.580198863,-98.348541844,581.0,0.5,1.435,11.41,,
T,40.580152638,-98.350335648,581.5,0.3,1.587,151.96,,
T,40.580090336,-98.352996043,580.6,-0.4,1.812,225.35,,
T,40.580080433,-98.353085804,580.7,0.2,1.820,7.68,,
T,40.580070362,-98.353206835,580.7,0.2,1.830,10.31,,
T,40.580027315,-98.353305621,580.6,-0.3,1.840,9.63,,
T,40.579961846,-98.353369989,580.7,0.3,1.849,9.09,,
T,40.579874742,-98.353385680,580.7,0.3,1.859,9.76,,
T,40.579777967,-98.353379363,580.7,-0.3,1.870,10.76,,
T,40.579690499,-98.353295115,580.6,-0.6,1.882,12.05,,
T,40.579618809,-98.353210482,580.6,0.4,1.892,10.71,,
T,40.579562322,-98.353116088,580.6,-0.1,1.902,10.16,,
T,40.579527739,-98.353002852,580.6,-0.6,1.913,10.33,,
T,40.579524062,-98.352873777,580.6,-0.3,1.924,10.94,,
T,40.579372928,-98.350976239,581.0,0.3,2.085,161.53,,
T,40.579358448,-98.350838270,581.0,0.0,2.097,11.79,,
T,40.579314957,-98.350690607,581.0,-0.1,2.110,13.40,,
T,40.579247641,-98.350591669,581.0,-0.5,2.122,11.23,,
T,40.579181457,-98.350512045,580.9,-0.7,2.132,9.97,,
T,40.579119682,-98.350459541,580.8,-0.9,2.140,8.17,,
T,40.578995123,-98.350402668,580.7,-1.0,2.154,14.65,,
T,40.578864787,-98.350386673,580.6,-0.5,2.169,14.54,,
T,40.578728074,-98.350359541,580.5,-0.6,2.184,15.35,,
T,40.578590085,-98.350303563,580.4,-0.8,2.200,16.04,,
T,40.578508047,-98.350226852,580.2,-1.3,2.212,11.19,,
T,40.578432403,-98.350091780,580.1,-1.1,2.226,14.19,,
T,40.578376270,-98.349950916,580.0,-0.3,2.239,13.46,,
T,40.578362398,-98.349811873,580.0,-0.3,2.251,11.87,,
T,40.578381155,-98.349674069,580.0,-0.4,2.263,11.85,,
T,40.578423358,-98.349549571,579.9,-0.1,2.274,11.54,,
T,40.578504080,-98.349440944,580.0,0.6,2.287,12.84,,
T,40.578600880,-98.349327660,580.0,-0.1,2.302,14.41,,
T,40.578705042,-98.349228953,579.9,-0.9,2.316,14.27,,
T,40.579397744,-98.348558518,579.9,0.0,2.412,95.60,,
T,40.579467224,-98.348449368,580.0,0.7,2.424,12.04,,
T,40.579531847,-98.348307088,579.9,-0.3,2.438,14.02,,
T,40.579555783,-98.348167816,579.8,-0.7,2.450,12.09,,
T,40.579555764,-98.347716742,579.8,-0.0,2.488,38.19,,
T,40.579515151,-98.347524408,579.9,0.3,2.505,16.90,,
T,40.579462431,-98.347469118,579.8,-0.5,2.512,7.50,,
T,40.579415028,-98.347389514,579.8,0.0,2.521,8.55,,
T,40.579347652,-98.347339173,579.8,-0.8,2.530,8.61,,
T,40.579265711,-98.347328996,579.7,-0.4,2.539,9.14,,
T,40.579140517,-98.347329428,579.8,0.2,2.553,13.90,,
T,40.577750204,-98.347709320,579.8,0.1,2.710,157.70,,
T,40.577622737,-98.347752138,579.8,0.0,2.725,14.61,,
T,40.577559558,-98.347785138,579.8,-0.2,2.732,7.55,,
T,40.577493661,-98.347850904,579.9,0.4,2.742,9.20,,
T,40.577420946,-98.347935547,580.0,1.0,2.752,10.80,,
T,40.577356884,-98.348027166,579.9,-0.3,2.763,10.53,,
T,40.577278985,-98.348128268,579.7,-1.7,2.775,12.17,,
T,40.577246106,-98.348241492,579.7,-0.2,2.785,10.26,,
T,40.577209669,-98.348345186,579.8,0.6,2.795,9.67,,
T,40.577187977,-98.348460505,579.9,1.0,2.805,10.06,,
T,40.577014657,-98.349956755,580.4,0.4,2.933,128.14,,
T,40.577014601,-98.350063298,580.4,0.4,2.942,9.02,,
T,40.577028261,-98.350229393,580.5,0.4,2.956,14.14,,
T,40.577045453,-98.350325273,580.5,0.4,2.965,8.34,,
T,40.577076669,-98.350468533,580.6,0.4,2.977,12.62,,
T,40.577111741,-98.350609164,580.5,-0.4,2.990,12.53,,
T,40.577160788,-98.350700306,580.5,0.0,2.999,9.45,,
T,40.577203841,-98.350790630,580.5,0.1,3.008,9.02,,
T,40.577254763,-98.350895030,580.6,0.6,3.019,10.49,,
T,40.577317324,-98.351001064,580.7,0.9,3.030,11.35,,
T,40.577820369,-98.351632487,580.9,0.2,3.108,77.32,,
T,40.577870732,-98.351700766,580.9,-0.0,3.116,8.04,,
T,40.577903806,-98.351789895,580.8,-0.6,3.124,8.39,,
T,40.577923203,-98.351897236,580.7,-1.1,3.133,9.34,,
T,40.577943181,-98.352005329,580.6,-1.0,3.143,9.42,,
T,40.577943233,-98.352117024,580.5,-0.6,3.152,9.46,,
T,40.577931391,-98.352197812,580.6,0.6,3.159,6.97,,
T,40.577914474,-98.352328091,580.7,0.8,3.170,11.19,,
T,40.577878953,-98.352403978,580.7,0.0,3.178,7.54,,
T,40.577846023,-98.352490002,580.7,-0.1,3.186,8.15,,
